date,ASML,AVGO,EQIX,GOOGL,ISRG,JPM,LIN,LLY,MSFT,NVO,PLD,RELX,ROP,SPGI,SPY,TDG,TSM,UNH
2021-01-05,0.0107198687,0.0067730726,-0.0014727795,0.0080642545,0.0063125613,0.0054413269,0.0156872362,0.0049545658,0.0009647351,-0.0092399931,0.0015617731,0.0040145077,-0.0008818890,-0.0144034982,0.0068872722,0.0196537415,0.0095791087,-0.0134477475
2021-01-06,-0.0299588127,-0.0061670880,-0.0326514116,-0.0098676282,-0.0152288796,0.0469556222,0.0328299137,-0.0120249258,-0.0259293522,-0.0259996471,-0.0237032406,0.0375850889,0.0100672101,0.0012483629,0.0059785318,-0.0005339574,0.0251843142,0.0419660474
2021-01-07,0.0228673723,0.0421427143,0.0149631459,0.0298687950,0.0194502355,0.0328390804,-0.0028732076,0.0091894117,0.0284570228,0.0168284869,0.0150144387,-0.0200384947,0.0183120763,0.0006385157,0.0148575473,0.0104858451,0.0503414298,0.0160327838
2021-01-08,0.0145783535,0.0050745460,0.0198684902,0.0132386242,0.0130411762,0.0011042103,-0.0011818143,0.0034977006,0.0060926334,0.0024255870,0.0134286225,0.0110104122,0.0012075493,-0.0067462712,0.0056978377,0.0133514946,-0.0225643809,-0.0044930898
2021-01-11,-0.0015528170,0.0002692760,-0.0145424242,-0.0231056361,-0.0062289408,0.0149246154,-0.0106137266,0.1173604754,-0.0096984321,0.0022771830,-0.0200828691,-0.0167248897,0.0172352227,-0.0234051441,-0.0067410249,-0.0005543636,0.0329429986,-0.0072648205
2021-01-12,0.0117727873,0.0081432155,-0.0085873523,-0.0107385706,-0.0309961666,0.0157184335,-0.0034012458,-0.0383995624,-0.0117705588,-0.0154785334,0.0005282428,-0.0110759992,-0.0194743735,-0.0104636485,0.0002111345,0.0081413066,0.0032627274,-0.0093692508
2021-01-13,0.0002527815,0.0040501610,0.0200876903,0.0056520433,0.0291972905,0.0009274928,0.0041629457,0.0374720355,0.0065602087,0.0226453222,0.0073906542,-0.0056001115,-0.0391636158,-0.0120625454,0.0026930192,-0.0111667133,-0.0306502711,-0.0065200151
2021-01-14,0.0595067302,0.0019058316,-0.0006520616,-0.0093461137,-0.0176351696,0.0058421022,-0.0150900107,0.0064151370,-0.0153461712,0.0018335516,0.0009435855,0.0032181348,-0.0138933013,-0.0188110262,-0.0035019836,-0.0080849096,0.0605550536,-0.0127027059
2021-01-15,-0.0314880238,-0.0137588252,0.0262300370,-0.0019065362,-0.0234839198,-0.0179213141,-0.0212370752,0.0218546419,-0.0017368457,0.0140785181,0.0228273062,-0.0064153645,0.0103336055,-0.0007512630,-0.0072925947,-0.0347815029,-0.0096482104,0.0021966466
2021-01-19,0.0417061163,0.0300996262,0.0120943919,0.0329067121,-0.0000128199,-0.0043277756,0.0036809973,0.0404150843,0.0178226199,0.0137443918,0.0033783224,0.0052460473,0.0068266209,0.0235006534,0.0078518097,-0.0197952499,0.0484708479,0.0025335666
2021-01-20,-0.0002181697,0.0056833101,0.0159426652,0.0535730297,0.0258989524,-0.0149956388,-0.0063311697,0.0140063003,0.0364997790,-0.0142424828,0.0237731786,0.0076275991,0.0146949306,0.0281023970,0.0138386068,0.0071153843,-0.0050265939,-0.0038331414
2021-01-21,0.0388797696,0.0106952772,-0.0107731819,0.0021704183,0.0001251933,-0.0083841328,-0.0163169973,0.0054160949,0.0028080574,0.0075018797,0.0008969595,0.0000000000,0.0021163958,-0.0131077514,0.0009118311,-0.0060780740,0.0269440433,0.0118571343
2021-01-22,-0.0022600366,-0.0038558807,0.0017500950,0.0044634706,-0.0683510924,-0.0077134611,-0.0067931107,0.0187296350,0.0043562443,0.0042747577,0.0078660500,0.0175298980,-0.0051969023,-0.0081203613,-0.0035392341,0.0042162199,-0.0374177251,-0.0209859893
2021-01-25,-0.0032313719,-0.0004945421,0.0027734715,0.0009086762,0.0106574256,-0.0124825657,0.0065214332,0.0301253264,0.0158442103,0.0048055171,0.0146216505,0.0035237976,-0.0002623637,-0.0006663142,0.0039437670,-0.0282616597,0.0106859251,0.0007481582
2021-01-26,-0.0327863689,-0.0019796042,0.0167043844,0.0072165164,0.0234570937,-0.0040869041,0.0107854116,0.0017424580,0.0121989333,0.0012299191,0.0326191266,0.0097541609,-0.0042946173,0.0129551071,-0.0015610078,-0.0283694610,-0.0296506363,-0.0135130922
2021-01-27,-0.0443898232,-0.0413259253,-0.0048144485,-0.0466522323,-0.0141882062,-0.0282719991,-0.0505764661,-0.0242101492,0.0024532559,-0.0450389498,-0.0261195823,-0.0162287395,0.0064460421,-0.0398422129,-0.0244404121,-0.0470948080,-0.0387682709,-0.0294950647
2021-01-28,0.0430588169,0.0158306596,0.0089242370,0.0188354148,0.0087382524,0.0175977142,0.0272941497,0.0122848574,0.0258908213,0.0090037909,0.0011619019,0.0015712319,0.0067379722,0.0413647409,0.0085999699,0.0716172157,0.0335961526,0.0154959857
2021-01-29,-0.0238660568,-0.0027451022,0.0023433425,-0.0139436243,-0.0231524855,-0.0110677295,-0.0165906025,-0.0102322337,-0.0291714603,-0.0141642059,-0.0019342843,-0.0266667612,-0.0707613159,-0.0061760243,-0.0200194591,-0.0044085931,-0.0342525517,-0.0135147949
2021-02-01,0.0378723744,0.0360488565,0.0226501006,0.0359591460,-0.0020464174,0.0073831677,0.0204972413,-0.0232243627,0.0331521920,0.0116381434,0.0262595886,0.0217565486,-0.0039449489,0.0152677728,0.0166453375,0.0307800603,0.0422978140,0.0012592076
2021-02-02,-0.0016051394,0.0217251891,0.0156597119,0.0137604841,0.0157214954,0.0307825056,0.0072674422,-0.0274686354,-0.0005841330,0.0079533130,0.0091588705,0.0110410607,0.0169666165,0.0256651546,0.0141403967,0.0334730250,0.0140532972,0.0141315621
2021-02-03,-0.0191330027,-0.0245132127,-0.0177995094,0.0728251283,-0.0164150781,0.0114509884,-0.0084044046,-0.0030373641,0.0145713796,0.0202902203,-0.0078593619,-0.0085803946,0.0092712089,-0.0177218210,0.0007865714,0.0168136340,-0.0073186555,-0.0024501544
